YEAR,MO,DY,T2M,QV2M
2016,1,1,23.94,6.16
2016,1,2,23.91,5.43
2016,1,3,23.14,4.27
2016,1,4,22,5.37
2016,1,5,22.32,5.13
2016,1,6,22.58,5.68
2016,1,7,22.68,6.35
2016,1,8,22.84,5.98
2016,1,9,23.79,5.55
2016,1,10,23.2,5.07
2016,1,11,22.69,4.88
2016,1,12,22.87,5.07
2016,1,13,23.33,5.62
2016,1,14,24.08,7.26
2016,1,15,24.24,8.61
2016,1,16,24.88,8.48
2016,1,17,25.15,7.81
2016,1,18,24.32,8.42
2016,1,19,22.69,9.46
2016,1,20,21.71,6.65
2016,1,21,19.96,4.21
2016,1,22,19.86,2.99
2016,1,23,20.15,2.93
2016,1,24,21.35,2.87
2016,1,25,22.76,6.23
2016,1,26,24.63,9.03
2016,1,27,24.82,5.55
2016,1,28,23.46,2.93
2016,1,29,24.15,3.78
2016,1,30,25.33,4.15
2016,1,31,26.26,3.91
2016,2,1,26.08,4.33
2016,2,2,26.69,4.64
2016,2,3,24.82,4.27
2016,2,4,23.85,3.91
2016,2,5,24.4,5.07
2016,2,6,25.87,8.18
2016,2,7,27.08,9.89
2016,2,8,26.98,8.61
2016,2,9,26.54,7.69
2016,2,10,28.16,8.18
2016,2,11,27.71,7.75
2016,2,12,28.2,6.65
2016,2,13,26.65,5.74
2016,2,14,27.3,7.81
2016,2,15,27.69,8.18
2016,2,16,26.93,7.87
2016,2,17,26.46,6.84
2016,2,18,26.7,6.96
2016,2,19,27.52,5.25
2016,2,20,28.87,5.62
2016,2,21,29.74,6.23
2016,2,22,30.54,8.42
2016,2,23,31.25,8.24
2016,2,24,31.74,7.57
2016,2,25,30.36,5.68
2016,2,26,29.89,11.6
2016,2,27,29.92,10.62
2016,2,28,30.23,9.95
2016,2,29,30.01,11.05
2016,3,1,28.58,11.72
2016,3,2,28.97,11.11
2016,3,3,29.44,9.7
2016,3,4,29.69,9.4
2016,3,5,29.96,9.22
2016,3,6,31.12,8.73
2016,3,7,30.37,7.2
2016,3,8,30.17,7.2
2016,3,9,29.33,7.87
2016,3,10,30.7,7.63
2016,3,11,30.42,7.63
2016,3,12,31.66,7.81
2016,3,13,31.02,7.69
2016,3,14,29.47,6.53
2016,3,15,29.33,8.48
2016,3,16,30.85,10.44
2016,3,17,31.52,8.73
2016,3,18,32.17,8.48
2016,3,19,31.79,7.45
2016,3,20,31.65,7.02
2016,3,21,31.08,4.94
2016,3,22,30.78,3.17
2016,3,23,30.69,3.97
2016,3,24,31.37,6.35
2016,3,25,32.19,7.57
2016,3,26,33.1,9.22
2016,3,27,33.33,7.57
2016,3,28,32.26,8.79
2016,3,29,32.48,8.67
2016,3,30,32.73,6.53
2016,3,31,32.25,7.45
2016,4,1,32.76,4.09
2016,4,2,33.19,5.98
2016,4,3,33.83,7.93
2016,4,4,34.94,8.85
2016,4,5,33.87,10.19
2016,4,6,33.08,7.51
2016,4,7,32.9,6.29
2016,4,8,33.66,7.39
2016,4,9,33.74,9.4
2016,4,10,34.26,8.24
2016,4,11,35.05,9.16
2016,4,12,35.21,7.26
2016,4,13,34.94,6.77
2016,4,14,34.28,5.25
2016,4,15,36.16,10.74
2016,4,16,36.51,9.22
2016,4,17,37.03,9.95
2016,4,18,35.51,9.46
2016,4,19,35.29,9.22
2016,4,20,35.54,8.85
2016,4,21,36.33,7.45
2016,4,22,36.31,7.08
2016,4,23,34.3,6.53
2016,4,24,34.11,6.59
2016,4,25,35.15,6.35
2016,4,26,35.51,8.91
2016,4,27,36.06,10.86
2016,4,28,34.93,10.74
2016,4,29,36.01,8.48
