YEAR,MO,DY,T2M,QV2M
2016,1,1,23.83,8.48
2016,1,2,24.08,8.12
2016,1,3,23.62,6.9
2016,1,4,23.18,7.02
2016,1,5,23.16,7.57
2016,1,6,23.32,7.81
2016,1,7,23.01,8.12
2016,1,8,22.99,7.39
2016,1,9,24.12,5.62
2016,1,10,23.72,6.16
2016,1,11,23.94,5
2016,1,12,23.44,5.13
2016,1,13,23.05,6.1
2016,1,14,23.17,8.36
2016,1,15,23.58,9.64
2016,1,16,24.05,8.67
2016,1,17,24.23,8.48
2016,1,18,24.17,9.22
2016,1,19,23.5,12.02
2016,1,20,23.85,10.07
2016,1,21,21.41,4.88
2016,1,22,20.81,3.23
2016,1,23,20.47,3.05
2016,1,24,21.45,3.42
2016,1,25,23.15,8.85
2016,1,26,24.7,10.8
2016,1,27,25.44,9.22
2016,1,28,24.74,4.64
2016,1,29,24.85,4.21
2016,1,30,24.9,5.31
2016,1,31,27.31,3.91
2016,2,1,26.7,5
2016,2,2,27.76,5.31
2016,2,3,26.65,5.43
2016,2,4,24.96,4.46
2016,2,5,25.08,8.3
2016,2,6,26.02,10.44
2016,2,7,27.05,11.35
2016,2,8,27.37,11.54
2016,2,9,27.91,10.62
2016,2,10,28.26,10.07
2016,2,11,28.23,10.01
2016,2,12,28.63,10.5
2016,2,13,29.09,10.5
2016,2,14,28.1,10.74
2016,2,15,27,9.77
2016,2,16,26.39,9.4
2016,2,17,26.24,7.81
2016,2,18,26.6,7.81
2016,2,19,26.85,6.35
2016,2,20,28.19,6.53
2016,2,21,29.8,7.2
2016,2,22,30.56,7.93
2016,2,23,30.47,9.64
2016,2,24,29.9,9.58
2016,2,25,29.12,11.54
2016,2,26,28.98,12.94
2016,2,27,27.9,10.62
2016,2,28,28.22,12.21
2016,2,29,28.36,12.57
2016,3,1,27.83,12.94
2016,3,2,28.56,12.08
2016,3,3,29.35,11.35
2016,3,4,28.95,10.56
2016,3,5,29.62,9.77
2016,3,6,30.17,9.16
2016,3,7,28.78,8.73
2016,3,8,28.79,8
2016,3,9,28.74,8.79
2016,3,10,30.48,9.16
2016,3,11,30.37,9.34
2016,3,12,30.4,9.46
2016,3,13,30.73,11.9
2016,3,14,30.69,13.31
2016,3,15,30.19,13.12
2016,3,16,30.89,12.45
2016,3,17,31.36,11.54
2016,3,18,32.15,10.5
2016,3,19,32.49,9.58
