YEAR,MO,DY,T2M,QV2M
2016,1,1,23.94,5.25
2016,1,2,23.91,4.94
2016,1,3,22.27,5
2016,1,4,21.64,5.49
2016,1,5,21.83,4.88
2016,1,6,22.55,4.21
2016,1,7,22.37,5.31
2016,1,8,23.46,5.37
2016,1,9,24.08,5.25
2016,1,10,22.41,4.82
2016,1,11,22.58,5.07
2016,1,12,22.92,4.64
2016,1,13,22.72,4.76
2016,1,14,23.42,6.41
2016,1,15,24.28,7.87
2016,1,16,24.73,7.81
2016,1,17,25.14,7.57
2016,1,18,24.93,8.06
2016,1,19,23.2,8.61
2016,1,20,20.97,6.59
2016,1,21,18.96,3.66
2016,1,22,17.97,2.62
2016,1,23,18.4,2.38
2016,1,24,20.11,2.62
2016,1,25,21.62,3.6
2016,1,26,23.4,7.93
2016,1,27,23.95,5.8
2016,1,28,22.86,3.23
2016,1,29,23.65,4.15
2016,1,30,25.62,4.21
2016,1,31,26.51,3.6
2016,2,1,26.05,4.39
2016,2,2,25.68,4.33
2016,2,3,24.26,4.52
2016,2,4,23.08,3.78
2016,2,5,23.87,3.97
2016,2,6,25.55,7.2
2016,2,7,27.06,9.58
2016,2,8,25.71,6.29
2016,2,9,24.64,4.88
2016,2,10,27.67,7.45
2016,2,11,27.38,6.77
2016,2,12,27.49,5.43
2016,2,13,26.94,6.1
2016,2,14,26.9,7.51
2016,2,15,28.55,8.67
2016,2,16,27.15,7.32
2016,2,17,26.86,6.59
2016,2,18,26.92,6.65
2016,2,19,27.56,4.94
2016,2,20,29.62,5.13
2016,2,21,30.31,7.02
2016,2,22,31.05,8.54
2016,2,23,30.66,8.12
2016,2,24,31.83,8.06
2016,2,25,30.8,8.06
2016,2,26,29.74,11.9
2016,2,27,29.97,11.05
2016,2,28,30.62,9.95
2016,2,29,29.6,11.9
2016,3,1,27.51,13.85
2016,3,2,27.92,12.76
2016,3,3,29.03,9.7
2016,3,4,29.12,9.58
2016,3,5,28.64,10.93
2016,3,6,28.67,10.25
2016,3,7,29.35,8.3
2016,3,8,30.16,7.57
2016,3,9,29.69,7.93
2016,3,10,30.88,7.87
2016,3,11,30.23,7.51
2016,3,12,31.73,8
2016,3,13,30.33,8
2016,3,14,29.74,7.57
2016,3,15,28.73,8.3
2016,3,16,30,11.72
2016,3,17,31.4,11.11
2016,3,18,32.4,9.89
2016,3,19,32.19,7.51
2016,3,20,31.99,6.65
2016,3,21,31.36,4.21
2016,3,22,30.76,3.42
2016,3,23,31.45,3.72
2016,3,24,31.26,3.66
2016,3,25,31.18,5.74
2016,3,26,33.08,8.61
2016,3,27,34.05,7.93
2016,3,28,31.26,11.05
2016,3,29,32.35,9.64
2016,3,30,32.2,8
2016,3,31,32.48,8.12
2016,4,1,32.15,4.94
2016,4,2,33.12,5.31
2016,4,3,34.1,7.63
2016,4,4,35.51,8.42
2016,4,5,34.38,8.18
2016,4,6,31.53,10.86
2016,4,7,32.15,10.8
2016,4,8,33.33,8.73
2016,4,9,33.86,9.34
2016,4,10,34.48,7.51
2016,4,11,35.52,8.85
2016,4,12,35.99,7.32
2016,4,13,34.86,6.16
2016,4,14,35,4.64
2016,4,15,36.09,9.28
2016,4,16,37.16,8.85
2016,4,17,37.17,8.79
2016,4,18,35.45,9.4
2016,4,19,36.11,9.28
2016,4,20,36.36,8.79
2016,4,21,37.51,7.26
2016,4,22,36.55,6.53
2016,4,23,35,6.77
2016,4,24,34.99,6.59
2016,4,25,36.08,6.41
2016,4,26,36.19,8.85
2016,4,27,37.05,10.8
2016,4,28,36.23,10.31
2016,4,29,37.09,8.24
2016,4,30,36.73,10.44
2016,5,1,37.36,8.61
2016,5,2,37.35,7.87
2016,5,3,35.83,8.85
2016,5,4,35.59,10.56
2016,5,5,34.26,10.93
2016,5,6,29.84,15.5
2016,5,7,31.56,14.59
2016,5,8,32.73,14.71
2016,5,9,32.46,14.47
2016,5,10,32.72,13.79
2016,5,11,34.2,12.33
2016,5,12,35.54,12.57
2016,5,13,36.44,12.63
2016,5,14,37.83,11.17
2016,5,15,36.75,13.31
2016,5,16,36.98,12.57
2016,5,17,36.55,12.7
2016,5,18,35.94,13.49
2016,5,19,35.23,12.02
2016,5,20,38.08,12.51
2016,5,21,37.28,10.68
2016,5,22,36.91,10.25
2016,5,23,36.32,11.54
2016,5,24,36.69,11.35
2016,5,25,36.59,10.86
2016,5,26,36.69,10.86
2016,5,27,37.3,11.17
2016,5,28,36.92,12.39
2016,5,29,36.52,11.66
2016,5,30,36.55,11.78
2016,5,31,36.9,11.23
2016,6,1,37.63,10.01
2016,6,2,38.22,10.93
2016,6,3,37.63,12.15
2016,6,4,35.81,13.98
2016,6,5,30.87,17.52
2016,6,6,30.62,17.7
2016,6,7,31.73,16.85
2016,6,8,30.29,17.76
2016,6,9,31.8,16.91
2016,6,10,32.09,17.09
2016,6,11,32.44,16.11
2016,6,12,32.02,15.62
2016,6,13,31.86,15.99
2016,6,14,33.26,14.89
2016,6,15,34.2,13.92
2016,6,16,34.08,13.85
2016,6,17,32.37,14.4
2016,6,18,28.15,17.21
