YEAR,MO,DY,T2M,QV2M
2016,1,1,24.26,9.7
2016,1,2,24.05,9.46
2016,1,3,24.11,9.77
2016,1,4,23.8,9.09
2016,1,5,23.83,9.89
2016,1,6,24.01,9.58
2016,1,7,23.42,9.22
2016,1,8,23.77,8.42
2016,1,9,24.3,6.77
2016,1,10,24.2,7.75
2016,1,11,24.76,5.86
2016,1,12,23.93,6.29
2016,1,13,23.38,7.63
2016,1,14,23.68,9.58
2016,1,15,24.03,9.95
2016,1,16,23.83,9.09
2016,1,17,23.83,9.16
2016,1,18,24.23,9.7
2016,1,19,24.8,11.78
2016,1,20,25.2,11.35
2016,1,21,23.67,6.1
2016,1,22,22.65,4.03
2016,1,23,21.94,3.85
2016,1,24,22.89,5.86
2016,1,25,23.94,10.31
2016,1,26,24.84,11.29
2016,1,27,26.11,11.54
2016,1,28,26.08,9.64
2016,1,29,25.62,7.32
2016,1,30,25.66,7.75
2016,1,31,27.1,4.7
2016,2,1,26.72,6.96
2016,2,2,27.22,8.06
2016,2,3,26.76,8.48
2016,2,4,26.42,6.41
2016,2,5,26.41,10.74
2016,2,6,26.62,11.54
2016,2,7,27.23,12.21
2016,2,8,27.62,12.39
2016,2,9,28.39,11.6
2016,2,10,27.93,11.6
2016,2,11,28.33,11.41
2016,2,12,28.49,12.08
2016,2,13,28.64,11.9
2016,2,14,28.01,11.72
2016,2,15,27.32,10.74
2016,2,16,26.59,10.01
2016,2,17,26.4,8.48
2016,2,18,26.87,8.54
2016,2,19,26.98,7.81
2016,2,20,27.83,8.36
2016,2,21,28.86,9.83
2016,2,22,29.8,10.93
2016,2,23,29.79,11.6
2016,2,24,28.83,11.17
2016,2,25,28.59,12.51
2016,2,26,29.05,13.24
2016,2,27,28.73,11.47
2016,2,28,28.64,13.06
2016,2,29,28.62,13.37
2016,3,1,28.63,13.31
2016,3,2,28.9,12.88
2016,3,3,29.51,12.39
2016,3,4,29.23,11.17
2016,3,5,29.33,10.56
2016,3,6,29.83,10.44
2016,3,7,28.81,9.95
2016,3,8,28.55,9.58
2016,3,9,28.41,10.01
2016,3,10,29.98,10.31
2016,3,11,30.29,11.17
2016,3,12,30,10.74
2016,3,13,29.9,13.67
2016,3,14,30.44,13.79
2016,3,15,30.37,13.92
2016,3,16,30.65,13.67
2016,3,17,31.4,13.31
2016,3,18,31.73,12.08
2016,3,19,32.58,10.8
2016,3,20,33.22,8.85
2016,3,21,33.12,6.77
2016,3,22,32.15,4.33
2016,3,23,32.16,9.4
2016,3,24,32.29,12.82
2016,3,25,31.44,12.94
2016,3,26,31.43,12.45
2016,3,27,31.12,12.57
2016,3,28,30.35,12.63
2016,3,29,30.92,12.45
2016,3,30,31.98,13.49
2016,3,31,32.05,12.39
2016,4,1,32.23,12.63
2016,4,2,32.58,12.15
2016,4,3,32.75,12.39
2016,4,4,33.32,11.6
2016,4,5,32.69,11.17
2016,4,6,31.9,10.07
2016,4,7,32.39,9.83
2016,4,8,32.15,12.08
2016,4,9,32.06,11.41
2016,4,10,31.82,11.17
2016,4,11,32.79,10.07
2016,4,12,33.77,9.95
2016,4,13,34.8,12.39
2016,4,14,35.18,13.92
2016,4,15,34.93,13.92
2016,4,16,34.31,13.55
2016,4,17,34.83,14.22
2016,4,18,33.53,13.18
2016,4,19,33.13,12.82
2016,4,20,33.66,12.33
2016,4,21,34.83,13.49
2016,4,22,36.13,13.06
2016,4,23,36.76,8.18
2016,4,24,36.48,8.67
2016,4,25,35.77,15.01
2016,4,26,35.01,14.95
2016,4,27,34.32,13
2016,4,28,34.48,11.9
2016,4,29,34.68,11.9
2016,4,30,35.03,12.27
2016,5,1,35.23,11.78
2016,5,2,35.93,12.21
2016,5,3,34.92,12.82
2016,5,4,34.82,12.39
2016,5,5,32.77,14.16
2016,5,6,30.24,16.72
2016,5,7,31.77,15.14
2016,5,8,31.66,15.14
2016,5,9,32.48,15.5
2016,5,10,31.61,15.99
2016,5,11,32.87,15.32
2016,5,12,33.67,15.38
2016,5,13,34.3,15.26
2016,5,14,34.36,15.81
2016,5,15,32.88,15.62
2016,5,16,33.39,15.56
2016,5,17,31.61,16.97
2016,5,18,30.37,16.36
2016,5,19,30.56,16.66
2016,5,20,34.37,16.11
2016,5,21,36.31,12.94
2016,5,22,36.84,11.05
2016,5,23,36.82,10.68
2016,5,24,37.99,11.6
2016,5,25,37.79,10.38
2016,5,26,37.01,11.41
2016,5,27,37.33,12.57
2016,5,28,36.92,13.18
2016,5,29,33.81,16.24
2016,5,30,32.09,16.24
2016,5,31,34.33,15.62
2016,6,1,34.44,15.26
2016,6,2,30.53,17.82
2016,6,3,30.44,17.64
2016,6,4,28.52,18.98
2016,6,5,28.48,18.37
2016,6,6,28.01,18.8
2016,6,7,27.59,19.53
2016,6,8,27.7,18.74
2016,6,9,28.84,16.05
2016,6,10,30.51,15.87
2016,6,11,31.06,17.33
2016,6,12,31.49,16.72
2016,6,13,28.98,17.58
2016,6,14,31.45,17.21
2016,6,15,32.61,15.87
2016,6,16,32.11,16.3
2016,6,17,30.77,16.48
2016,6,18,27.6,17.21
2016,6,19,29.08,17.7
2016,6,20,28.63,18.43
2016,6,21,29.03,17.64
2016,6,22,29.61,17.4
2016,6,23,30.29,18.13
2016,6,24,29.47,18.13
2016,6,25,28.09,19.1
2016,6,26,27.14,17.82
2016,6,27,26.75,18.31
2016,6,28,25.82,18.68
2016,6,29,26.67,19.47
2016,6,30,26.75,18.98
2016,7,1,26.94,18.62
2016,7,2,28.32,19.23
2016,7,3,28.45,18.86
2016,7,4,28.73,18.55
2016,7,5,27.94,19.04
2016,7,6,28.41,18.37
2016,7,7,27.48,18.19
2016,7,8,27.55,17.58
2016,7,9,25.83,17.46
2016,7,10,25.78,17.52
2016,7,11,27.11,17.58
2016,7,12,28.34,18.62
2016,7,13,28.91,18.37
2016,7,14,28.52,18.19
2016,7,15,28.36,18.25
2016,7,16,28.01,18.8
2016,7,17,27.57,17.88
2016,7,18,27.38,18.31
2016,7,19,26.14,18.43
2016,7,20,26.84,18.19
2016,7,21,26.43,18.92
2016,7,22,26.8,18.68
2016,7,23,26.67,18.37
2016,7,24,27.1,18.25
2016,7,25,27.64,18.55
2016,7,26,26.49,18.86
2016,7,27,26.71,18.68
2016,7,28,27.05,18.74
2016,7,29,26.75,19.23
2016,7,30,26.46,18.98
2016,7,31,25.62,18.8
2016,8,1,25.99,18.68
2016,8,2,25.85,17.82
2016,8,3,25.58,17.88
2016,8,4,26.24,18.25
2016,8,5,27.69,18.49
2016,8,6,27.33,18.49
2016,8,7,27.85,18.49
2016,8,8,27.38,18.07
2016,8,9,27.74,18.01
2016,8,10,28,18.13
2016,8,11,27.89,18.31
2016,8,12,27.4,18.25
2016,8,13,27.73,18.8
2016,8,14,26.69,18.13
2016,8,15,26.87,17.64
2016,8,16,27.43,17.27
2016,8,17,26.63,17.09
2016,8,18,27.52,17.27
2016,8,19,28.08,17.27
2016,8,20,28.43,16.6
2016,8,21,28.75,17.52
2016,8,22,27.8,17.82
2016,8,23,28.47,17.88
2016,8,24,28.78,18.74
2016,8,25,28.13,19.47
2016,8,26,27.08,18.92
2016,8,27,27.23,18.74
2016,8,28,28.27,18.74
2016,8,29,27.6,19.47
2016,8,30,27.34,20.14
2016,8,31,26.68,19.78
2016,9,1,26.12,18.92
2016,9,2,26.15,18.62
2016,9,3,24.42,17.58
2016,9,4,25.43,18.19
2016,9,5,25.48,16.85
2016,9,6,25.39,15.87
2016,9,7,25.13,15.81
2016,9,8,25.81,16.48
2016,9,9,26.36,17.52
2016,9,10,25.53,18.55
2016,9,11,25.82,18.74
2016,9,12,25.15,18.37
2016,9,13,24.87,18.31
2016,9,14,25.89,18.74
2016,9,15,26.58,18.92
2016,9,16,26.47,19.17
2016,9,17,27.15,18.86
2016,9,18,26.21,17.64
2016,9,19,26.62,18.13
2016,9,20,26.55,18.62
2016,9,21,26.73,19.71
2016,9,22,26.71,20.14
2016,9,23,26.72,19.9
2016,9,24,26.85,19.96
2016,9,25,26.82,20.08
2016,9,26,26.39,19.78
2016,9,27,26.79,19.84
2016,9,28,26.48,18.98
2016,9,29,26.9,18.86
2016,9,30,25.69,18.86
2016,10,1,25.91,18.86
2016,10,2,25.98,18.13
2016,10,3,25.97,18.19
2016,10,4,26.44,18.19
2016,10,5,26.4,18.25
2016,10,6,26.31,18.31
2016,10,7,25.34,18.31
2016,10,8,25.35,18.8
2016,10,9,25.65,18.49
2016,10,10,25.8,18.07
2016,10,11,26.22,18.43
2016,10,12,26.13,17.64
2016,10,13,25.23,15.99
2016,10,14,23.31,13
2016,10,15,23.3,13.06
2016,10,16,23.44,13.61
2016,10,17,22.92,13.06
2016,10,18,22.69,13.12
2016,10,19,22.58,12.94
2016,10,20,23,12.51
2016,10,21,22.53,12.39
2016,10,22,22.47,12.51
2016,10,23,22.56,12.39
2016,10,24,22.76,12.82
2016,10,25,23.16,13.55
2016,10,26,23.06,13.67
2016,10,27,22.41,12.94
2016,10,28,23.67,14.77
2016,10,29,23.29,15.56
2016,10,30,24.76,16.54
2016,10,31,25.17,16.85
2016,11,1,24.4,15.75
2016,11,2,24.18,15.26
2016,11,3,24.49,15.44
2016,11,4,24.76,15.81
2016,11,5,24.85,15.69
2016,11,6,24.34,14.89
2016,11,7,22.27,11.6
2016,11,8,21.33,10.38
2016,11,9,20.84,10.07
2016,11,10,20.34,9.7
2016,11,11,19.99,9.52
2016,11,12,20.85,10.8
2016,11,13,22.57,11.96
2016,11,14,24.03,13.85
2016,11,15,24.64,14.71
2016,11,16,24.19,14.83
2016,11,17,23.22,14.22
2016,11,18,21.13,11.29
2016,11,19,20.41,10.31
2016,11,20,21.55,10.8
2016,11,21,21.55,9.89
2016,11,22,21.09,9.52
2016,11,23,20.83,9.46
2016,11,24,20.78,9.52
2016,11,25,20.42,9.46
2016,11,26,20.43,9.09
2016,11,27,20.51,8.97
2016,11,28,21.09,9.34
2016,11,29,21.6,9.64
2016,11,30,21.76,10.38
2016,12,1,21.3,10.56
2016,12,2,23.12,12.57
2016,12,3,24.46,14.34
2016,12,4,24.42,14.16
2016,12,5,23.44,12.63
2016,12,6,21.55,10.62
2016,12,7,21.34,9.95
2016,12,8,20.22,8.54
2016,12,9,19.51,7.93
2016,12,10,19.55,8.91
2016,12,11,20.87,9.16
2016,12,12,22.88,10.68
2016,12,13,23.62,13.06
2016,12,14,24.31,13.67
2016,12,15,24.19,12.94
2016,12,16,23.3,11.66
2016,12,17,21.55,8.36
2016,12,18,20.5,7.26
2016,12,19,20.41,7.39
2016,12,20,20.27,6.59
2016,12,21,20.01,6.41
2016,12,22,19.87,6.16
2016,12,23,19.36,5.98
2016,12,24,20.52,5.92
2016,12,25,21.61,9.95
2016,12,26,21.65,8.36
2016,12,27,20.7,6.77
2016,12,28,21.1,8.3
2016,12,29,22.33,8.36
2016,12,30,23.15,10.44
2016,12,31,22.85,10.93
2017,1,1,22.69,9.64
2017,1,2,22.67,10.19
2017,1,3,21.98,8.91
2017,1,4,21.07,7.32
2017,1,5,21.22,7.02
2017,1,6,21.9,8.24
2017,1,7,22.59,9.83
2017,1,8,22.83,10.01
2017,1,9,23.24,9.64
2017,1,10,22.87,9.83
2017,1,11,21.72,7.02
2017,1,12,20.49,6.1
2017,1,13,20.83,6.04
2017,1,14,21.4,7.63
2017,1,15,22.54,8.48
2017,1,16,22.5,6.71
2017,1,17,22.44,7.2
2017,1,18,22.26,8.67
2017,1,19,22.96,9.52
2017,1,20,23.37,7.57
2017,1,21,24.07,6.53
2017,1,22,25.13,8.79
2017,1,23,25.12,9.22
2017,1,24,23.98,8.36
2017,1,25,23.82,8.54
2017,1,26,24.48,9.46
2017,1,27,24.87,10.19
2017,1,28,25.58,9.22
2017,1,29,23.87,6.47
2017,1,30,24.65,5.8
2017,1,31,25.31,9.22
2017,2,1,25.14,9.52
2017,2,2,25.1,10.68
2017,2,3,25.33,9.89
2017,2,4,25.51,7.81
2017,2,5,25.25,9.7
2017,2,6,25.51,7.87
2017,2,7,25.73,5.74
2017,2,8,26.3,5.74
2017,2,9,26.05,7.87
2017,2,10,25.35,8.97
2017,2,11,25.32,9.58
2017,2,12,24.94,10.01
2017,2,13,25.25,9.83
2017,2,14,25.91,9.64
2017,2,15,25.8,9.28
2017,2,16,26.02,8.36
2017,2,17,26.3,8.36
2017,2,18,26.94,8.48
2017,2,19,27.12,8.06
2017,2,20,28.74,4.33
2017,2,21,28.42,6.77
2017,2,22,28.58,9.09
2017,2,23,28.96,8.12
2017,2,24,28.95,5.07
2017,2,25,26.85,5.74
2017,2,26,27.04,3.54
2017,2,27,27.76,9.28
2017,2,28,28.51,7.93
2017,3,1,27.68,8.91
2017,3,2,27.52,8.36
